username,ranking_beauty,category,username_2
@galeribobotoh,927,['Soccer'],galeribobotoh
@dekoruma,928,['Interior Design'],dekoruma
@ardhitopramono,929,"['Singer', 'Music']",ardhitopramono
@khofifah.ip,930,[],khofifah.ip
@abouttng,931,[],abouttng
@duniakesehatan.co.id,932,[],duniakesehatan.co.id
@jimin.twt,933,"['Fashion', 'Modeling']",jimin.twt
@parentalk.id,934,[],parentalk.id
@kulinerbandung,935,"['Food', 'Cooking']",kulinerbandung
@fokusbro,936,[],fokusbro
@achmad16jufriyanto,937,['Soccer'],achmad16jufriyanto
@ajunperwira,938,['Actors'],ajunperwira
@recehtapisayang,939,"['Funny', 'Travel', 'Photography']",recehtapisayang
@indahnadapuspita,940,"['Celebrities', 'Fashion']",indahnadapuspita
@indozonetech,941,[],indozonetech
@carendelano,942,"['Fashion', 'Fashion Design', 'Modeling', 'Photography', 'Celebrities']",carendelano
@amrikhairudin,943,['Lifestyle'],amrikhairudin
@tvonenews,944,['News&Politics'],tvonenews
@arenafakta,945,[],arenafakta
@ketoprak_jowo,946,[],ketoprak_jowo
@minisoindo,947,"['Fashion', 'Beauty', 'Lifestyle']",minisoindo
@asusid,948,['Electronics'],asusid
@hanungbramantyo,949,[],hanungbramantyo
@freefirememe,950,[],freefirememe
@marshallsastra,951,"['Travel', 'Adventure', 'Photography']",marshallsastra
@gustafode,952,"['Food & Drink', 'Technology', 'Cooking', 'Fashion', 'Health & Fitness']",gustafode
@edrictjandra,953,"['Actors', 'Singer']",edrictjandra
@jktfoodbang,954,['Food'],jktfoodbang
@andrew.white._,955,['Travel'],andrew.white._
@kemnaker,956,[],kemnaker
@vickynit13,957,['Soccer'],vickynit13
@nathalieholscher,958,"['Singer', 'Music']",nathalieholscher
@taehyung_v,959,[],taehyung_v
@mobilelegendswtf,960,['Video Games'],mobilelegendswtf
@jihanealmira,961,['Actors'],jihanealmira
@jawaban_dokter,962,[],jawaban_dokter
@bellmirs,963,"['Video Blogger', 'Photography', 'Technology']",bellmirs
@hijabalila,964,[],hijabalila
@musikindonesia.id,965,['Events'],musikindonesia.id
@adityaspratama,966,['Author'],adityaspratama
@masayuclara,967,['Actors'],masayuclara
@meztymez,968,['Music'],meztymez
@upinipinofficial,969,"['TV Shows', 'Technology', 'Photography', 'Architecture', 'Art', 'Travel']",upinipinofficial
@natasharyder,970,"['Actors', 'Film, Music & Books', 'Technology', 'Architecture']",natasharyder
@mo_rantika,971,['Actors'],mo_rantika
@dessyeccypunon,972,['Lifestyle'],dessyeccypunon
@pena_tarim,973,[],pena_tarim
@lovestorychat,974,[],lovestorychat
@hanako_babyshopnew,975,[],hanako_babyshopnew
@indozonelife,976,[],indozonelife
@breadtalkindo,977,['Food'],breadtalkindo
@nisacookie,978,"['Soccer', 'Moms']",nisacookie
@fitriarasyidi,979,['Actors'],fitriarasyidi
@inspirasialquran,980,[],inspirasialquran
@tyarabarbiereal,981,[],tyarabarbiereal
@anisarahmaan,982,[],anisarahmaan
@ismedsofyan14,983,['Soccer'],ismedsofyan14
@sunnydahye,984,[],sunnydahye
@bae_biiiiiii,985,[],bae_biiiiiii
@mahara.id,986,[],mahara.id
@lutfialmsyh,987,['Video Blogger'],lutfialmsyh
@persib_day,988,['Soccer'],persib_day
@mytha_lestari,989,['Moms'],mytha_lestari
@rasasayange,990,"['Food', 'Cooking']",rasasayange
@rezadarmawangsa,991,['Singer'],rezadarmawangsa
@akuhelmalia,992,['Actors'],akuhelmalia
@squishyshop_ind,993,['Shopping'],squishyshop_ind
@tni_angkatan_darat,994,[],tni_angkatan_darat
@nabilazirus,995,"['Business', 'Entrepreneur', 'Entertainment', 'Technology', 'Film, Music & Books']",nabilazirus
@receh.id,996,[],receh.id
@zigzagbatamnew,997,['Shopping'],zigzagbatamnew
@bioskop,998,['Comics'],bioskop
@hijrahfest,999,[],hijrahfest
@nala_rinaldo,1000,"['Nature & Outdoors', 'Photography', 'Architecture', 'Travel']",nala_rinaldo
