username,ranking_beauty,category,username_2
@bighit_exhibition,215,"['Photography', 'Modeling']",bighit_exhibition
@umayshahab,216,"['Actors', 'Technology', 'Photography', 'Film, Music & Books']",umayshahab
@persijajkt,217,['Soccer'],persijajkt
@catatanfilm,218,['Quotes'],catatanfilm
@indrayanigr,219,['Video Blogger'],indrayanigr
@wirda_mansur,220,"['Writers', 'Lifestyle']",wirda_mansur
@arifmuhammaddd_,221,['Comedy'],arifmuhammaddd_
@vebbypalwinta,222,"['Actors', 'Celebrities', 'Technology', 'Film, Music & Books']",vebbypalwinta
@aruanmarsha,223,"['Actors', 'Cars & Motorcycles', 'Celebrities', 'Technology', 'Humor']",aruanmarsha
@chicco.jerikho,224,['Actors'],chicco.jerikho
@angelagilsha,225,"['Actors', 'Technology', 'Film, Music & Books', 'Photography']",angelagilsha
@lucintaluna,226,['Band'],lucintaluna
@cesarazpi,227,['Soccer'],cesarazpi
@cahyaniryn,228,[],cahyaniryn
@yummy.idn,229,['Cooking'],yummy.idn
@pandorakaaki,230,"['Travel', 'Fashion', 'Lifestyle']",pandorakaaki
@lucu.abis,231,['Travel'],lucu.abis
@detikcom,232,['News&Politics'],detikcom
@gheayoubi,233,[],gheayoubi
@ariekuntung,234,['Actors'],ariekuntung
@fairuzarafiq,235,['Actors'],fairuzarafiq
@dahliachr,236,['Moms'],dahliachr
@tamarableszynskiofficial,237,['Actors'],tamarableszynskiofficial
@abqariyyahalilintar,238,['Singer'],abqariyyahalilintar
@bangijal_tv,239,['Video Blogger'],bangijal_tv
@genifaruk,240,['Entrepreneur'],genifaruk
@hanahaho,241,"['Actors', 'Technology', 'Photography', 'Film, Music & Books', 'Cars & Motorcycles']",hanahaho
@muntazhalilintar,242,['Video Blogger'],muntazhalilintar
@bastiansteel,243,"['Styling', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles', 'Humor']",bastiansteel
@vickyshu,244,['Singer'],vickyshu
@auraesports,245,[],auraesports
@r3hab,246,"['Music', 'DJ', 'Producers']",r3hab
@rickycuaca,247,['Lifestyle'],rickycuaca
@sivaapriliareal,248,['Modeling'],sivaapriliareal
@wonderful_location,249,"['Travel', 'Photography', 'Adventure', 'Architecture', 'Nature & Outdoors', 'Film, Music & Books']",wonderful_location
@athallanaufal7,250,['Video Blogger'],athallanaufal7
@dinar_candy,251,['Singer'],dinar_candy
@pathdaily.story,252,['Quotes'],pathdaily.story
@hanggini,253,"['Modeling', 'Beauty', 'Singer', 'Technology', 'Film, Music & Books', 'Humor']",hanggini
@bintangemon,254,[],bintangemon
@da2_danang,255,['Singer'],da2_danang
@ipandachannel,256,['Pets'],ipandachannel
@sabyan_gambus,257,"['Music', 'Singer']",sabyan_gambus
@fero_walandouw,258,"['Actors', 'Film, Music & Books', 'Technology', 'Humor']",fero_walandouw
@tya_ariestya,259,"['Sports', 'Technology', 'Photography']",tya_ariestya
@angelalee87,260,['Video Blogger'],angelalee87
@fbyputrinc,261,[],fbyputrinc
@elelrumi,262,['Video Blogger'],elelrumi
@nasyamarcella,263,"['Actors', 'Technology', 'Humor', 'Celebrities']",nasyamarcella
@cgtn,264,"['TV Channel', 'Travel', 'Photography']",cgtn
@frandaaa87,265,"['Actors', 'Technology', 'Photography', 'Film, Music & Books']",frandaaa87
@missnyctagina,266,['Actors'],missnyctagina
@tantrisyalindri,267,"['Band', 'Technology', 'Film, Music & Books', 'Celebrities', 'Cars & Motorcycles']",tantrisyalindri
@ngakaksehat,268,['Entertainment'],ngakaksehat
@denadaindonesia,269,"['Actors', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles', 'Photography']",denadaindonesia
@wendicagur,270,['Singer'],wendicagur
@radenrauf,271,[],radenrauf
@guyonankekinian,272,[],guyonankekinian
@memeragecomikindonesia,273,['Humor'],memeragecomikindonesia
@vanessaangelofficial,274,"['Actors', 'Fashion', 'Modeling', 'Lifestyle']",vanessaangelofficial
@si_nopal,275,"['Art', 'Film, Music & Books', 'Architecture', 'Design']",si_nopal
@abunsungkar,276,['Lifestyle'],abunsungkar
@azofrangga,277,"['Actors', 'Fashion', 'Lifestyle']",azofrangga
@indrabekti,278,['Actors'],indrabekti
@ayudiac,279,"['Actors', 'Technology', 'Film, Music & Books', 'Celebrities']",ayudiac
@asus,280,"['Photography', 'Travel']",asus
@jharnabhagwani,281,"['Art', 'Beauty', 'Business']",jharnabhagwani
@ariefmuhammad,282,['Writers'],ariefmuhammad
@ninazatulini22,283,['Actors'],ninazatulini22
@alwiassegaf03,284,['Cooking'],alwiassegaf03
@misellia_,285,['Sports'],misellia_
@komikin_ajah,286,"['Art', 'Film, Music & Books', 'Technology']",komikin_ajah
